[01/12/20 12:12:06] [INFO] received Windows console close event; shutting log-core down
[01/12/20 12:17:19] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/12/20 12:32:00] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/12/20 12:33:40] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/12/20 12:39:00] [INFO] received Windows console close event; shutting log-core down
[01/12/20 12:48:22] [INFO] received Windows console close event; shutting log-core down
[01/12/20 12:48:50] [INFO] received Windows console close event; shutting log-core down
[01/12/20 12:54:09] [INFO] received Windows console close event; shutting log-core down
[01/12/20 12:58:01] [INFO] received Windows console close event; shutting log-core down
[01/12/20 13:32:45] [INFO] received Windows console close event; shutting log-core down
[01/12/20 16:16:56] [INFO] received Windows console close event; shutting log-core down
[01/12/20 16:40:32] [INFO] received Windows console close event; shutting log-core down
[01/12/20 17:08:48] [INFO] received Windows console close event; shutting log-core down
[01/12/20 19:04:44] [INFO] received Windows console close event; shutting log-core down
[01/12/20 19:06:46] [INFO] received Windows console close event; shutting log-core down
[01/12/20 21:28:14] [INFO] received Windows console close event; shutting log-core down
[01/12/20 22:20:13] [INFO] received Windows console close event; shutting log-core down
[01/12/20 22:35:50] [INFO] received Windows console close event; shutting log-core down
[01/12/20 22:42:00] [INFO] received Windows console close event; shutting log-core down
[01/13/20 10:18:41] [INFO] received Windows console close event; shutting log-core down
[01/13/20 10:20:55] [INFO] received Windows console close event; shutting log-core down
[01/13/20 10:23:13] [INFO] received Windows console close event; shutting log-core down
[01/13/20 10:36:59] [INFO] received Windows console close event; shutting log-core down
[01/13/20 10:37:19] [INFO] received Windows console close event; shutting log-core down
[01/13/20 10:37:21] [INFO] received Windows console close event; shutting log-core down
[01/13/20 10:39:01] [INFO] received Windows console close event; shutting log-core down
[01/13/20 10:39:01] [INFO] received Windows console close event; shutting log-core down
[01/13/20 12:21:45] [INFO] received Windows console close event; shutting log-core down
[01/13/20 13:27:34] [INFO] received Windows console close event; shutting log-core down
[01/13/20 14:57:59] [INFO] received Windows console close event; shutting log-core down
[01/13/20 20:36:44] [INFO] received Windows console close event; shutting log-core down
[01/14/20 11:40:27] [INFO] received Windows console close event; shutting log-core down
[01/14/20 11:45:14] [INFO] received Windows console close event; shutting log-core down
[01/15/20 16:26:02] [INFO] received Windows console close event; shutting log-core down
[01/16/20 00:07:54] [INFO] received Windows console close event; shutting log-core down
[01/16/20 00:16:39] [INFO] received Windows console close event; shutting log-core down
[01/16/20 09:33:54] [INFO] received Windows console close event; shutting log-core down
[01/16/20 17:41:57] [INFO] received Windows console close event; shutting log-core down
[01/16/20 17:42:02] [INFO] received Windows console close event; shutting log-core down
[01/16/20 18:23:41] [INFO] received Windows console close event; shutting log-core down
[01/16/20 21:46:22] [INFO] received Windows console close event; shutting log-core down
[01/17/20 09:15:44] [INFO] received Windows console close event; shutting log-core down
[01/17/20 09:17:24] [INFO] received Windows console close event; shutting log-core down
[01/17/20 10:50:05] [INFO] received Windows console close event; shutting log-core down
[01/17/20 16:45:31] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/17/20 18:08:42] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/18/20 10:33:23] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/18/20 18:52:56] [INFO] received Windows console close event; shutting log-core down
[01/19/20 17:06:08] [INFO] received Windows console close event; shutting log-core down
[01/20/20 22:04:49] [INFO] received Windows console close event; shutting log-core down
[01/20/20 22:19:42] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/22/20 18:35:20] [INFO] received Windows console close event; shutting log-core down
[01/24/20 12:12:18] [INFO] received Windows console close event; shutting log-core down
[01/24/20 12:19:18] [INFO] received Windows console close event; shutting log-core down
[01/24/20 12:19:38] [INFO] received Windows console close event; shutting log-core down
[01/24/20 12:21:35] [INFO] received Windows console close event; shutting log-core down
[01/24/20 12:23:42] [INFO] received Windows console close event; shutting log-core down
[01/24/20 12:23:59] [INFO] received Windows console close event; shutting log-core down
[12:30:17] [INFO] received Windows console close event; shutting log-core down
[12:30:52] [INFO] received Windows console close event; shutting log-core down
[01/24/20 12:34:12] [INFO] received Windows console close event; shutting log-core down
[01/24/20 12:35:41] [INFO] received Windows console close event; shutting log-core down
[01/24/20 12:38:18] [INFO] received Windows console close event; shutting log-core down
[01/24/20 12:40:23] [INFO] received Windows console close event; shutting log-core down
[01/24/20 12:43:10] [INFO] received Windows console close event; shutting log-core down
[01/26/20 16:56:50] [INFO] received Windows console close event; shutting log-core down
